FIRE_NAME,FIRE_YEAR,STAT_CAUSE_DESCR,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,STATE
CAT,2006,Lightning,5,36.34805556,-112.0188889,AZ
WATERFALL,2006,Arson,10,35.64833333,-93.58666667,AR
"HORSE SHOE #1",2006,Lightning,10,34.655,-93.13472222,AR
SWITCH,2006,Lightning,2.5,34.41805556,-111.5116667,AZ
PONY,2006,Lightning,5,36.36361111,-111.9766667,AZ
TELEPHONE,2006,Lightning,10,36.36861111,-112.1736111,AZ
ELUSIVE,2006,Lightning,2.5,34.36777778,-111.3691667,AZ
COTTONWOOD,2006,Lightning,5,38.74361111,-119.6947222,CA
INDIAN,2006,Lightning,25,36.45194444,-112.4430556,AZ
MOORE,2006,Lightning,2.5,34.36916667,-111.1961111,AZ
BICYCLE,2006,Lightning,2.5,36.43333333,-112.0997222,AZ
DNT,2006,Lightning,2.5,43.3575,-122.3038889,OR
FEVRE,2006,Lightning,2.5,36.82444444,-112.2605556,AZ
POISON,2006,Lightning,2.5,41.1825,-123.0194444,CA
CHOPPER,2006,Lightning,2.5,36.53333333,-112.1683333,AZ
"NANCY CREEK FIRE",2006,Lightning,2.5,43.36083333,-122.2602778,OR
122,2006,Lightning,5,34.75944444,-93.12,AR
"YOUNG CREEK",2006,Lightning,2.5,48.97,-115.2716667,MT
"KELSAY POINT FIRE",2006,Lightning,2.5,43.30222222,-122.1086111,OR
ANTELOPE,2006,Lightning,10,37.36083333,-102.7238889,CO
IAMUP,2006,Lightning,2.5,41.19027778,-123.0263889,CA
"HWY 138",2006,Lightning,2.5,43.24388889,-122.1516667,OR
BARK,2006,Lightning,5,41.17833333,-122.98,CA
APPLESAUCE,2006,Lightning,2.5,41.29527778,-123.0425,CA
"6 MILE",2006,Lightning,2.5,41.26027778,-123.0047222,CA
SNOOZER,2006,Lightning,5,41.36194444,-123.0488889,CA
"CAVE BRANCH HOLLOW",2006,Arson,5,37.42722222,-91.32972222,MO
"CAVE BRANCH HOLLOW 2",2006,Arson,10,37.41722222,-91.32388889,MO
"ROCKY CROSSING #1",2006,Lightning,5,34.90111111,-93.1175,AR
INDEPENDENCE,2006,Lightning,2.5,36.01027778,-106.5808333,NM
EAST,2006,Lightning,2.5,37.85222222,-111.7230556,UT
"SOUTH POWELL #1",2006,Lightning,25,34.75388889,-93.34777778,AR
"GOVERNMENT FIELDS",2006,Lightning,2.5,43.88694444,-103.3819444,SD
"DAN DAY",2006,Lightning,2.5,38.02472222,-111.9205556,UT
ROBERTS,2006,Lightning,2.5,34.35861111,-111.1341667,AZ
STEEP,2006,Lightning,5,36.36722222,-112.0466667,AZ
JAKE,2006,Lightning,2.5,37.85166667,-111.7769444,UT
NORTH,2006,Lightning,2.5,37.85194444,-111.7772222,UT
SHOO,2006,Lightning,2.5,34.30888889,-111.3152778,AZ
STEWART,2006,Lightning,2.5,44.06805556,-103.5947222,SD
COTTON,2006,Lightning,10,36.52111111,-112.5044444,AZ
SHADEL,2006,Lightning,10,37.28694444,-103.0958333,CO
WONDER,2006,Lightning,2.5,34.32444444,-111.295,AZ
RUSH,2006,Lightning,35,41.10333333,-123.0366667,CA
DISPOSAL,2006,Lightning,2.5,34.2375,-111.3625,AZ
"HICKS 2",2006,Lightning,2.5,41.29638889,-123.0497222,CA
RICE,2006,Lightning,2.5,36.47305556,-112.4552778,AZ
"SAND HILL",2006,Lightning,5,37.27111111,-102.4869444,CO
"DRY FORK #3",2006,Arson,10,34.86416667,-93.18027778,AR
ROUGH,2006,Lightning,2.5,34.39222222,-111.1577778,AZ
SOWATS,2006,Lightning,25,36.48111111,-112.4219444,AZ
"HORSE CREEK",2006,Lightning,5,37.86,-111.8613889,UT
"HICKS 1",2006,Lightning,2.5,41.29416667,-123.0502778,CA
RIGGS,2006,Lightning,5,36.54944444,-112.3130556,AZ
"DEAD RIVER FIRE",2006,Lightning,5,46.67055556,-87.97111111,MI
RAYS,2006,Lightning,5,41.07666667,-123.0963889,CA
SADDLE,2006,Lightning,10,36.46222222,-112.3141667,AZ
"SAND RIDGE",2006,Lightning,2.5,37.93722222,-111.5594444,UT
MILLET,2006,Lightning,5,36.46638889,-112.4191667,AZ
ELLIOT,2006,Lightning,10,37.54055556,-103.7072222,CO
KING,2006,Lightning,2.5,37.90055556,-111.5313889,UT
"TRAP FIRE",2006,Lightning,2.5,43.23277778,-122.2691667,OR
"BRUSH HOG FIRE",2006,"Equipment Use",2.5,46.26722222,-89.10694444,MI
PACKERS,2006,Lightning,2.5,41.09444444,-122.9713889,CA
RUCKER,2006,Smoking,2.5,39.35027778,-120.6522222,CA
BASIN,2006,Lightning,2.5,41.24472222,-123.1136111,CA
COUNTS,2006,Lightning,2.5,41.29111111,-123.0991667,CA
"UNIT 3",2006,Lightning,2.5,37.925,-111.4958333,UT
WILBURTON,2006,"Debris Burning",15,37.09027778,-101.7555556,KS
"CLEARWATER FALLS",2006,Lightning,2.5,43.2475,-122.2272222,OR
BRONCO,2006,Arson,15,37.0975,-101.7772222,KS
CLEARWATER,2006,Lightning,2.5,43.24666667,-122.225,OR
ANTELOPE,2006,Miscellaneous,5,39.61694444,-120.2508333,CA
SHONE-200,2006,Lightning,2.5,42.25722222,-120.8686111,OR
LADYBUG,2006,Lightning,2.5,39.48388889,-120.0511111,CA
"SAND CREEK",2006,Lightning,2.5,37.97194444,-111.575,UT
POLE,2006,Miscellaneous,2.5,37.24888889,-119.1936111,CA
"OLD TIME",2006,Lightning,2.5,37.97972222,-111.62,UT
KLIPPLE-293,2006,Lightning,2.5,42.69,-121.0197222,OR
"WATSON RIDGE",2006,Lightning,2.5,43.28083333,-122.2941667,OR
"SALT GULCH",2006,Lightning,2.5,37.92527778,-111.5519444,UT
BUCKSLIDE,2006,Lightning,5,43.09888889,-122.3794444,OR
SIGN,2006,Lightning,2.5,41.16638889,-123.2633333,CA
PICAYUNE,2006,Lightning,2.5,41.26416667,-123.255,CA
"TUB 2-312",2006,Lightning,2.5,42.33694444,-121.0361111,OR
"LOST CREEK",2006,Lightning,2.5,43.23083333,-122.2263889,OR
SPUD,2006,Lightning,5,41.13777778,-123.2858333,CA
"ELEPHANT MTN",2006,Lightning,5,43.30694444,-122.2244444,OR
CHINA,2006,Lightning,2.5,41.07916667,-123.0794444,CA
DISCOVERY,2006,Lightning,2.5,41.99611111,-122.7744444,CA
KNOB,2006,Lightning,2.5,41.18222222,-123.0191667,CA
"TUB BUTTE-309",2006,Lightning,2.5,42.32222222,-121.0036111,OR
"ROMAN #1",2006,Lightning,2.5,47.0525,-114.2402778,MT
"WITS ROAD",2006,Lightning,2.5,43.21944444,-122.0663889,OR
LAKE,2006,Lightning,2.5,41.25166667,-123.2572222,CA
"YAINAX BUTTE-304",2006,Lightning,2.5,42.39555556,-121.2233333,OR
POTTER,2006,Lightning,2.5,37.27777778,-119.1511111,CA
ELDE-301,2006,Lightning,2.5,42.60472222,-121.3197222,OR
WHITE-300,2006,Lightning,2.5,42.3375,-121.0247222,OR
QUAIL,2006,Lightning,2.5,37.39277778,-118.9291667,CA
"SHONE SPRINGS-199",2006,Lightning,5,42.24444444,-121.8930556,OR
SUICIDE,2006,Lightning,2.5,36.65083333,-112.2425,AZ
POCKET,2006,Lightning,15,36.62194444,-112.3144444,AZ
SYTH,2006,Lightning,2.5,37.37583333,-113.5063889,UT
"SYCAN 1-256",2006,Lightning,2.5,42.85388889,-121.01,OR
SAWMILL,2006,Lightning,5,36.55666667,-112.41,AZ
SLIPPERY,2006,Lightning,2.5,35.03527778,-111.7486111,AZ
WILDERNESS,2006,Lightning,5,36.31555556,-112.9825,AZ
"SINGLE TREE",2006,Lightning,5,34.64666667,-94.62944444,OK
FREEZE,2006,Lightning,5,34.96583333,-111.83,AZ
"SYCAN 2-280",2006,Lightning,2.5,42.65638889,-121.3094444,OR
OAK,2006,Lightning,2.5,36.65777778,-112.3955556,AZ
DUTCH,2006,Lightning,5,33.77277778,-111.11,AZ
THIRTYONE,2006,Lightning,2.5,34.38194444,-111.1936111,AZ
SINKHOLE,2006,Lightning,5,36.48611111,-112.0394444,AZ
DUKES,2006,Lightning,5,34.70388889,-94.84222222,OK
SALT,2006,Lightning,2.5,41.905,-123.1027778,CA
TON,2006,Lightning,2.5,33.84333333,-111.2991667,AZ
SMALL,2006,Lightning,2.5,34.31388889,-110.99,AZ
PARK,2006,Lightning,2.5,36.34555556,-111.9013889,AZ
DUTCH,2006,Lightning,2.5,41.89055556,-122.7113889,CA
"GOLF COURSE #1",2006,Arson,5,34.19722222,-94.76555556,OK
JUG,2006,Lightning,2.5,36.33611111,-112.3861111,AZ
"TWO TRACK",2006,Lightning,2.5,34.31444444,-110.9880556,AZ
"CHAIR 2",2006,Lightning,2.5,36.29611111,-115.6844444,NV
"GOLF COURSE #2",2006,Arson,5,34.1975,-94.74611111,OK
SISTER,2006,Lightning,2.5,36.47055556,-112.3775,AZ
GUNT,2006,Lightning,5,36.49944444,-112.4780556,AZ
MOO,2006,Lightning,2.5,34.35972222,-111.1913889,AZ
KILN,2006,Lightning,5,36.34388889,-115.8522222,NV
PEARL,2006,Lightning,2.5,34.36555556,-111.2305556,AZ
RAPPELL,2006,Lightning,2.5,36.48638889,-112.3833333,AZ
"SECRET 1-221",2006,Lightning,2.5,42.1325,-120.8452778,OR
SIDE,2006,Lightning,10,36.63611111,-112.5183333,AZ
"RIM TRAIL",2006,Lightning,2.5,34.41166667,-111.2652778,AZ
"DRY FIRE-235",2006,Lightning,10,42.2975,-121.115,OR
SUGAR,2006,Campfire,2.5,39.11805556,-120.8005556,CA
"LUCILE FIRE",2006,Lightning,2.5,43.26138889,-122.0283333,OR
WILLOW,2006,Lightning,5,34.08777778,-111.5744444,AZ
CORNSTALK,2006,Lightning,10,34.25277778,-111.9766667,AZ
"TF FIRE",2006,Lightning,2.5,43.31611111,-122.2180556,OR
DODGE,2006,Lightning,2.5,39.61833333,-120.1341667,CA
LION,2006,Lightning,5,33.93111111,-111.5908333,AZ
UTE,2006,Lightning,2.5,39.20083333,-105.5369444,CO
BLUE,2006,Lightning,5,33.88083333,-111.8211111,AZ
"GRANITE 2",2006,Lightning,2.5,39.50138889,-120.0502778,CA
PERIANI,2006,Lightning,2.5,43.29833333,-122.2297222,OR
BRISTLECONE,2006,Lightning,2.5,36.21777778,-115.6438889,NV
"POWER POLE",2006,Miscellaneous,5,37.5,-113.6330556,UT
"MOWICH #1",2006,Lightning,2.5,43.27777778,-122.2627778,OR
REUNION,2006,Lightning,2.5,37.60555556,-113.5444444,UT
ANGEL,2006,Lightning,5,36.33611111,-115.5372222,NV
"TAYLOR RANCH",2006,Lightning,5,47.04972222,-110.4680556,MT
"BUNKER HILL",2006,Lightning,2.5,43.325,-122.1802778,OR
"BLUE CREEK-274",2006,Lightning,2.5,42.59638889,-121.3041667,OR
"LOST PARK 2",2006,Lightning,2.5,39.3775,-105.7038889,CO
TEDDY-281,2006,Lightning,2.5,42.62944444,-121.3438889,OR
"MONUMENT RIDGE",2006,Lightning,2.5,47.02944444,-111.1063889,MT
LONG,2006,Lightning,5,34.26083333,-111.7108333,AZ
ZANE,2006,Lightning,2.5,34.38083333,-111.1138889,AZ
HEBRON,2006,Lightning,5,37.57916667,-113.8902778,UT
"TUB FIRE-291",2006,Lightning,2.5,42.30083333,-121.0030556,OR
"HARLEY PARK",2006,Lightning,2.5,46.95222222,-110.8066667,MT
"BULL DOG-260",2006,Lightning,10,43.00388889,-120.9094444,OR
"PINE PARK",2006,Lightning,2.5,37.52972222,-114,UT
CHASE,2006,Lightning,5,34.41333333,-111.2983333,AZ
"WHEELER PEAK",2006,Lightning,2.5,36.41277778,-115.8013889,NV
MCNEIL,2006,Lightning,2.5,41.10583333,-123.0116667,CA
POTTER,2006,Lightning,2.5,43.33361111,-122.3388889,OR
HAYPRESS,2006,Lightning,2.5,41.13777778,-123.0294444,CA
LONGS,2006,Lightning,2.5,39.09722222,-105.4352778,CO
GRAY,2006,Lightning,2.5,34.37388889,-111.1161111,AZ
BLAKE,2006,Lightning,5,37.24361111,-113.4780556,UT
"ROSEBUD SPRING",2006,Lightning,2.5,36.2875,-115.8005556,NV
ETHEL,2006,Lightning,2.5,41.44555556,-123.2136111,CA
"HELL HOLE",2006,Lightning,2.5,41.44861111,-123.2925,CA
HATCH,2006,Lightning,2.5,34.385,-111.1022222,AZ
HALFWAY-238,2006,Lightning,2.5,43.12444444,-121.2494444,OR
KATHERINE,2006,Lightning,2.5,41.45166667,-123.2208333,CA
LANDIS,2006,Lightning,2.5,39.10083333,-105.4422222,CO
"NORTH BAILEY",2006,Lightning,2.5,43.16583333,-122.2341667,OR
"BRIDGE CREEK-232",2006,Lightning,5,43.04555556,-121.2177778,OR
HAGIR,2006,Lightning,2.5,43.25694444,-122.1525,OR
INTERSECTION,2006,Lightning,2.5,46.90138889,-110.9675,MT
"NINEMILE CREEK",2006,Miscellaneous,2.5,47.04805556,-114.3975,MT
"BOTTOM LOST",2006,Lightning,2.5,43.24972222,-122.2188889,OR
"LA SALLE",2006,Miscellaneous,2.5,39.08222222,-105.4991667,CO
"SOUTH BRACKET CR.",2006,Arson,2.5,45.84555556,-110.9022222,MT
SANDSTONE,2006,Lightning,5,33.75916667,-111.6094444,AZ
"STOCK TANK",2006,Lightning,2.5,38.86055556,-105.5005556,CO
BORDERLINE,2006,Lightning,2.5,44.92111111,-118.4066667,OR
"LIGHTNING CREEK",2006,Lightning,5,44.74138889,-118.5113889,OR
"FLOWER CREEK 3",2006,Campfire,2.5,48.34944444,-115.5744444,MT
"RACE TRACK 7",2006,Campfire,2.5,48.41333333,-115.5563889,MT
"LIBBY CREEK",2006,Smoking,2.5,48.08361111,-115.515,MT
KEELER,2006,Miscellaneous,2.5,48.33,-115.8683333,MT
"SHELDON GATE 4",2006,Campfire,2.5,48.45555556,-115.5405556,MT
"KEELER JUNCTION",2006,Campfire,2.5,48.34972222,-115.8925,MT
"QUARTZ RANSOME",2006,Lightning,10,48.54333333,-115.6802778,MT
PORCUPINE,2006,Lightning,2.5,48.90361111,-115.4386111,MT
"BRISTOW BRUSH",2006,Lightning,2.5,48.54694444,-115.3555556,MT
"CASTLE ROCK",2006,Lightning,2.5,48.6675,-114.9033333,MT
ROBINSON,2006,Lightning,5,48.95361111,-115.4011111,MT
RAILROAD,2006,Railroad,2.5,48.43666667,-115.85,MT
"EVERETT CREEK",2006,Lightning,2.5,48.5725,-115.3222222,MT
"CHINA GULCH 2",2006,Arson,2.5,43.96555556,-103.5561111,SD
"BASIN CREEK",2006,Lightning,5,48.86666667,-115.4413889,MT
"DAVIS MTN",2006,Lightning,2.5,48.50611111,-115.0141667,MT
"TEN MILE TALLUS",2006,Lightning,2.5,48.64972222,-115.155,MT
"HEMP HILL",2006,Lightning,2.5,48.39777778,-115.61,MT
"SWEET SWEDE",2006,Lightning,2.5,48.35722222,-115.4680556,MT
"DEAD DEER",2006,Lightning,2.5,48.34,-115.5597222,MT
"PIPE FLATS",2006,Lightning,2.5,48.44444444,-115.5666667,MT
"SINGLE TREE CHASE",2006,Lightning,2.5,48.385,-115.8591667,MT
"SWANSON LODGE",2006,Lightning,2.5,48.41166667,-115.8086111,MT
"PEACE CREEK",2006,Lightning,2.5,48.44,-115.3466667,MT
"WARLAND 2",2006,Lightning,2.5,48.50722222,-115.2036111,MT
"THUNDER MOUNTAIN",2006,Lightning,2.5,48.04666667,-115.4491667,MT
"KEELER GROUSE",2006,Lightning,2.5,48.35305556,-115.8819444,MT
"FLAT IRON",2006,Lightning,2.5,48.68972222,-115.6211111,MT
CAYUSE,2006,Lightning,2.5,48.66222222,-115.0408333,MT
"TEPEE CANYON",2006,Lightning,5,43.67333333,-103.9527778,SD
BAY,2006,Lightning,2.5,48.64777778,-115.0316667,MT
SPIRIT,2006,Lightning,2.5,48.64805556,-115.0311111,MT
PAINT,2006,Lightning,2.5,48.64833333,-115.0311111,MT
"QUARRY CANYON",2006,Lightning,5,43.40194444,-103.7558333,SD
"BUTCHER BLOCK",2006,Lightning,2.5,48.58333333,-114.9319444,MT
"LEONIA BRIDGE",2006,Lightning,2.5,48.61666667,-116.0486111,MT
"POWER TUB",2006,Lightning,2.5,48.42777778,-115.4625,MT
"WARLAND 1",2006,Lightning,2.5,48.525,-115.2072222,MT
URAL,2006,Lightning,2.5,48.59527778,-115.2644444,MT
"TWINS LAKES",2006,Lightning,2.5,48.85333333,-115.0866667,MT
"UPPER ALEXANDER",2006,Lightning,2.5,48.40888889,-115.3777778,MT
"SWEDE RIDGE",2006,Lightning,2.5,48.38527778,-115.4736111,MT
"STICK STACK",2006,Lightning,2.5,48.04444444,-115.4944444,MT
"RICHARDSON WELL",2006,Lightning,5,43.59416667,-103.7522222,SD
"PINKHAM POWER",2006,Lightning,2.5,48.62277778,-115.0563889,MT
"WEST KEELER",2006,Lightning,2.5,48.37611111,-115.985,MT
"GROUSE LAKE",2006,Lightning,2.5,48.3625,-115.9161111,MT
"CLIFF CREEK",2006,Lightning,2.5,48.31083333,-116.0427778,MT
STUDEBAKER,2006,Lightning,2.5,48.5625,-115.8244444,MT
"CABIN DRAW",2006,Lightning,2.5,44.10888889,-103.9591667,SD
"FALLS CREEK",2006,Lightning,2.5,48.4225,-115.8069444,MT
"SOUTH SIDE",2006,Lightning,2.5,48.52611111,-115.9538889,MT
"STUDEBAKER 2",2006,Lightning,5,48.57888889,-115.8091667,MT
STEAMBOAT,2006,Miscellaneous,5,43.81083333,-115.8127778,ID
"RICE DRAW",2006,Lightning,2.5,47.99833333,-115.9238889,MT
"CUSSING CANYON",2006,Lightning,2.5,48.41388889,-115.2591667,MT
"LUCKY GORGE",2006,Lightning,2.5,48.6925,-114.9986111,MT
"WILEY WAPITIT",2006,Lightning,2.5,48.45333333,-115.2469444,MT
"DRY ROSS",2006,Lightning,2.5,48.18333333,-115.9186111,MT
PINKHAM,2006,Lightning,2.5,48.64583333,-115.0652778,MT
"STAR CREEK",2006,Lightning,2.5,48.52027778,-116.0513889,ID
"DEAD HORSE",2006,Lightning,2.5,48.105,-115.9411111,MT
"BIG HORN",2006,Lightning,2.5,48.19305556,-115.7044444,MT
PHEASANT,2006,Lightning,2.5,48.30194444,-115.8316667,MT
"KENNEDY GULCH",2006,Lightning,2.5,48.39888889,-115.4227778,MT
TUSK,2006,Lightning,2.5,41.66305556,-123.1530556,CA
"HOLT RIDGE",2006,Lightning,2.5,48.33611111,-115.4866667,MT
SYDNEY,2006,Lightning,2.5,39.29388889,-105.6683333,CO
"TUB C",2006,Lightning,2.5,48.42194444,-115.4597222,MT
"RIM VIEW",2006,Lightning,2.5,43.67027778,-115.965,ID
"SWEDE STRIKE",2006,Lightning,2.5,48.33638889,-115.455,MT
"GARDEN RIDGE",2006,Lightning,2.5,48.6775,-115.4691667,MT
"SEVEN MILE",2006,Lightning,2.5,48.55277778,-115.9675,MT
"DROP CREEK",2006,Lightning,2.5,48.72,-115.5286111,MT
"SMOKEY LAKE",2006,Lightning,2.5,48.62638889,-114.7258333,MT
"WHITE PINE",2006,Lightning,2.5,48.31388889,-115.9291667,MT
"LINK CREEK",2006,Lightning,2.5,38.9925,-105.455,CO
ELLSWORTH,2006,Lightning,2.5,48.61638889,-115.1933333,MT
"ILLINOIS TOP",2006,Lightning,2.5,43.87555556,-115.7711111,ID
PILOT,2006,Lightning,2.5,43.94888889,-115.6847222,ID
FLOURNOY,2006,Lightning,10,40.05333333,-120.6741667,CA
RAIL,2006,Lightning,2.5,41.37,-122.6527778,CA
"HUMBUG 1",2006,Lightning,2.5,43.81333333,-115.7666667,ID
MILL,2006,Lightning,2.5,41.27,-122.6955556,CA
"BAD BEAR",2006,Lightning,5,43.92916667,-115.7272222,ID
WILLOW,2006,"Equipment Use",2.5,40.32666667,-121.6116667,CA
KANGAROO,2006,Lightning,5,41.34722222,-122.6955556,CA
WILSON,2006,Lightning,2.5,38.93944444,-105.3361111,CO
"WEST WFU",2006,Lightning,35,35.90888889,-111.9969444,AZ
RED,2006,Campfire,2.5,41.56138889,-123.1511111,CA
MIRROR,2006,Lightning,2.5,41.74194444,-122.9322222,CA
"BAR WFU",2006,Lightning,15,35.93722222,-111.825,AZ
RANKIN,2006,Lightning,2.5,38.92916667,-105.3955556,CO
SCHULER,2006,Lightning,2.5,41.69333333,-123.035,CA
KIDDER,2006,Lightning,2.5,41.51166667,-123.0761111,CA
DEPARTMENT,2006,Lightning,2.5,35.91555556,-112.0030556,AZ
MOLTER,2006,Lightning,2.5,41.69777778,-123.0411111,CA
LICK,2006,Lightning,2.5,41.75166667,-122.135,CA
TEN-X,2006,Lightning,5,35.95722222,-112.1194444,AZ
"FISH CREEK",2006,Lightning,2.5,38.85888889,-105.4169444,CO
BEER,2006,"Debris Burning",5,42.08027778,-114.3061111,ID
SOUTH,2006,Lightning,2.5,41.18583333,-122.9022222,CA
LATE,2006,Lightning,2.5,35.82472222,-112.1658333,AZ
CLEAR,2006,Lightning,5,34.57305556,-111.1427778,AZ
SKY,2006,Lightning,2.5,41.55055556,-123.1688889,CA
"DARK GULCH",2006,Lightning,2.5,41.20194444,-122.9519444,CA
RUSTY,2006,Lightning,5,35.84583333,-112.0397222,AZ
STONES,2006,Lightning,2.5,41.66861111,-123.2022222,CA
MAYBE,2006,Lightning,2.5,35.90472222,-112.1566667,AZ
"MILL LAKE",2006,Lightning,2.5,40.10972222,-122.7525,CA
"DRY GULCH",2006,Lightning,2.5,38.88388889,-105.5247222,CO
"PICKET PIN",2006,Lightning,2.5,45.45027778,-109.9188889,MT
BOULDER,2006,Lightning,2.5,41.25972222,-122.8547222,CA
PINYON,2006,Lightning,2.5,35.78083333,-112.1127778,AZ
LEES,2006,Lightning,2.5,41.23527778,-122.9219444,CA
COCONINO,2006,Lightning,2.5,35.91222222,-111.9508333,AZ
CHAR,2006,Lightning,2.5,35.93666667,-112.0952778,AZ
CAYLOR,2006,Lightning,2.5,38.94805556,-105.4686111,CO
HALFMILE,2006,Lightning,2.5,36.0425,-112.2777778,AZ
"COLE CREEK",2006,Lightning,35,45.58833333,-108.9597222,MT
PIONEER,2006,Miscellaneous,2.5,41.84111111,-123.9305556,CA
"SHANE RIDGE",2006,Lightning,35,45.49194444,-109.0841667,MT
SHELLY,2006,Campfire,2.5,41.90194444,-123.8533333,CA
SAUNDERS,2006,"Debris Burning",35,45.6125,-109.4833333,MT
HUCKLEBERRY,2006,Lightning,2.5,48.60666667,-115.0913889,MT
"HAMILTON CREEK",2006,Lightning,2.5,48.67277778,-114.95,MT
"O' BRIEN 2",2006,Lightning,5,48.54833333,-115.8133333,MT
"MINERAL MOUNTAIN",2006,Lightning,2.5,48.55833333,-115.1486111,MT
"NORTH JACKSON",2006,Lightning,2.5,48.49611111,-115.3872222,MT
"FLOWER CREEK 4",2006,Campfire,2.5,48.34944444,-115.5744444,MT
"QUARTZ 6",2006,Campfire,2.5,48.44277778,-115.6263889,MT
"BROKEBACK BANFIELD",2006,Lightning,2.5,48.54611111,-115.4211111,MT
BERRY,2006,Lightning,2.5,48.22722222,-115.7869444,MT
SALYER,2006,Arson,2.5,40.88972222,-123.5877778,CA
MIDDLE,2006,Lightning,5,41.69722222,-123.175,CA
"BUCKHORN 1",2006,Lightning,2.5,41.66527778,-123.2408333,CA
"BUCKHORN 3",2006,Lightning,2.5,41.64666667,-123.2186111,CA
"ROCK BLUFF",2006,Lightning,2.5,35.66861111,-105.6525,NM
KELSEY,2006,Lightning,2.5,41.60166667,-123.1408333,CA
MANZANARES,2006,Lightning,2.5,35.66,-105.5875,NM
TYLER,2006,Lightning,2.5,41.63472222,-123.2169444,CA
"TYLER 2",2006,Lightning,2.5,41.63388889,-123.2013889,CA
CUEVA,2006,Lightning,2.5,35.63388889,-105.7491667,NM
"NORTH FORK",2006,Lightning,5,41.66666667,-123.1680556,CA
"PADRE SPRINGS",2006,Lightning,2.5,35.52111111,-105.7455556,NM
SINGLETON,2006,Lightning,2.5,41.70111111,-122.9016667,CA
SNAKE,2006,Lightning,2.5,41.60111111,-123.0516667,CA
"EAST BOULDER",2006,Lightning,2.5,41.33555556,-123.1169444,CA
"BLUE JAY",2006,Lightning,2.5,41.21805556,-122.8513889,CA
WILDCAT,2006,Lightning,2.5,41.28388889,-122.885,CA
WRIGHT,2006,Lightning,2.5,41.56805556,-123.0836111,CA
"GIN TRAIL",2006,Lightning,2.5,41.64833333,-123.2016667,CA
BACKWOODS,2006,Lightning,2.5,41.60027778,-123.065,CA
"LION CREEK",2006,Miscellaneous,35,38.40138889,-109.0225,CO
QUAKING,2006,Lightning,2.5,36.41083333,-112.2083333,AZ
COLLINS,2006,Lightning,2.5,34.35055556,-111.1536111,AZ
POINT,2006,Lightning,2.5,36.52194444,-112.32,AZ
SNOW,2006,Lightning,2.5,34.2725,-111.0152778,AZ
"CAMP IV",2006,Lightning,5,41.83777778,-100.2919444,NE
EASTSIDE,2006,Lightning,2.5,36.34555556,-111.9030556,AZ
BUCK,2006,Lightning,2.5,36.69305556,-112.1566667,AZ
MESCAL,2006,Miscellaneous,10,34.43888889,-117.7180556,CA
WILD,2006,Lightning,2.5,36.76055556,-112.1566667,AZ
CENTER,2006,Miscellaneous,5,34.71972222,-118.7977778,CA
PLEASANT,2006,Lightning,5,36.49083333,-112.08,AZ
SLIDE,2006,Lightning,10,36.65277778,-112.4402778,AZ
"SNOW LAKE",2006,Lightning,5,39.31472222,-111.1422222,UT
DOVE,2006,Lightning,2.5,36.60194444,-112.3286111,AZ
"YELLOW DOG",2006,Lightning,2.5,41.39194444,-123.0477778,CA
"YELLOW JACKET",2006,Lightning,2.5,41.28583333,-123.3083333,CA
TAYLOR,2006,Lightning,2.5,41.40527778,-123.1502778,CA
"THREE LAKES WFU",2006,Lightning,5,39.11,-111.5125,UT
"#2 QUITCHUPAH CNY",2006,Lightning,5,38.95361111,-111.3716667,UT
CANDLE-298,2006,Lightning,2.5,42.595,-121.2658333,OR
ONION,2006,Campfire,2.5,39.25055556,-120.635,CA
OBSIDIAN-351,2006,Lightning,2.5,42.80194444,-121.0369444,OR
BABYLON,2006,Lightning,2.5,37.725,-109.8266667,UT
"DUCK LAKE",2006,Lightning,5,37.81472222,-109.8066667,UT
"COTTONWOOD SPRINGS",2006,Lightning,2.5,39.34611111,-111.5044444,UT
"WOLF 3",2006,Lightning,2.5,38.36944444,-119.5380556,CA
"SINGLE PINE",2006,Lightning,2.5,38.34083333,-109.1972222,UT
HEINEMAN,2006,Lightning,2.5,46.97138889,-114.8508333,MT
"DEVIL 2-299",2006,Lightning,2.5,42.29222222,-120.9766667,OR
"LONG WAY",2006,Lightning,2.5,37.77916667,-109.7475,UT
"SNAKE MOUNTAIN",2006,Arson,5,34.76722222,-94.70861111,OK
FRENCH,2006,Campfire,2.5,39.11888889,-120.4175,CA
"HANG DOG",2006,Lightning,5,38.375,-109.0983333,UT
FISHHOLE-303,2006,Lightning,2.5,42.34333333,-120.9952778,OR
JENNY,2006,Lightning,2.5,40.81694444,-121.4336111,CA
GEARHART-285,2006,Lightning,2.5,42.54777778,-120.8919444,OR
SNAGS-326,2006,Lightning,2.5,42.15638889,-120.8633333,OR
"BIFZ #2265",2006,Lightning,2.5,43.66888889,-119.4141667,OR
"WHISKEY JOHN-334",2006,Lightning,5,42.39388889,-121.1619444,OR
OR-MAF-087,2006,Lightning,2.5,44.55111111,-119.2913889,OR
SILVER,2006,Smoking,2.5,39.30027778,-120.5847222,CA
"EAGLETON CEMETARY",2006,Lightning,5,34.67916667,-94.28194444,AR
WATKINS,2006,Lightning,5,45.36777778,-103.1363889,SD
MIDDLE,2006,Lightning,2.5,36.65583333,-112.3063889,AZ
SPOTS,2006,"Equipment Use",2.5,34.30388889,-111.3575,AZ
